mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000091651.9	0.00355617783784557	0.0398785087641476	0.0389591447354298	mock_slope	38.5465064683805	Not	Not	Significant
ENSG00000136051.14	0.00958635396915475	0.045730587366551	0.0466815478411524	mock_slope	38.0560419373992	Not	Significant	Significant
ENSG00000132109.10	0.000943174327391625	0.100712320681286	0.103360306598506	mock_slope	37.9405212548853	Not	Significant	Significant
ENSG00000138035.15	-0.00469592586566487	0.0828475686756341	0.0805883912772074	mock_slope	37.9248162472079	Not	Significant	Significant
ENSG00000243978.8	0.066909771127389	0.495481499365141	0.482952501545826	mock_slope	37.8959246479103	Not	Not	Significant
ENSG00000169435.14	0.0136552328261779	0.037916514973383	0.0372916350433504	mock_slope	37.8526791862598	Not	Not	Significant
ENSG00000181722.16	0.0073070703365898	0.0682682144698211	0.0699338752986013	mock_slope	36.7098205249987	Not	Significant	Significant
ENSG00000133106.14	-0.00948927905240195	0.191378386275386	0.19700002321024	mock_slope	36.6565453774209	Not	Significant	Significant
ENSG00000165259.14	0.026173135833012	0.0771666241937752	0.0758021691171096	mock_slope	36.4833112623962	Not	Not	Significant
ENSG00000137200.13	0.00486730714398163	0.0665860726197363	0.0649190911550212	mock_slope	36.1252370890535	Not	Significant	Significant
ENSG00000185404.16	-0.00104863895351641	0.0747495509319805	0.0726991720508701	mock_slope	36.1007965465932	Not	Significant	Significant
ENSG00000251003.8	0.0182340756273502	0.0706915671904468	0.0721916384869613	mock_slope	35.0711775974491	Not	Not	Significant
ENSG00000206597.1	-0.0777554121412795	0.0774790888934185	0.0730953682084718	mock_slope	34.5411018860165	Not	Not	Significant
ENSG00000006652.14	-0.0260751137136521	0.0366371632833183	0.0348704608580857	mock_slope	34.529551938436	Significant	Significant	Significant
ENSG00000167005.14	0.018342136695189	-0.00491621162320658	-0.00559622691610649	mock_slope	34.2005478604666	Significant	Not	Not
ENSG00000273559.5	0.00509448069290175	0.0405404843420462	0.0415799961505323	mock_slope	34.1348556609368	Not	Not	Significant
ENSG00000196684.12	-0.00293346683877228	0.130298048525148	0.134292153123534	mock_slope	33.7549376720375	Not	Significant	Significant
ENSG00000125691.13	-0.0195130834727037	-0.0152939070136502	-0.0154163555289942	mock_slope	33.4543759938157	Significant	Significant	Not
ENSG00000122641.11	-0.0737007390577745	0.027812277660851	0.024844443747395	mock_slope	33.1808829722766	Significant	Not	Significant
ENSG00000141736.13	0.0164171027608372	-0.0165064603687765	-0.0175073512215303	mock_slope	32.9008043137387	Significant	Significant	Significant
ENSG00000282851.2	0.145165550412253	0.250068635877748	0.246906444741311	mock_slope	32.8733472283049	Not	Not	Significant
ENSG00000162616.9	0.0054342731125261	0.138846835491775	0.142967097914827	mock_slope	32.8042413876167	Not	Significant	Significant
ENSG00000184588.18	8.4183672352607e-06	0.119434996110107	0.123138990054799	mock_slope	32.5627315855648	Not	Significant	Significant
ENSG00000163545.8	-0.00169536484833917	0.137969323982365	0.133749393894857	mock_slope	32.4984754588819	Not	Significant	Significant
ENSG00000143164.15	0.0273095111538115	-0.000627649195774788	0.000215990989671074	mock_slope	32.1069778269175	Significant	Not	Not
ENSG00000136240.10	-0.0054179805012992	-0.0265914544917715	-0.0272555860041575	mock_slope	31.8951985065512	Not	Not	Significant
ENSG00000196419.12	0.0162292113598768	0.000293815922453589	0.000778326986723025	mock_slope	31.8867117403598	Significant	Not	Not
ENSG00000197372.9	0.0122024466107691	0.0407245020921757	0.0398559153059424	mock_slope	31.8653813017402	Not	Not	Significant
ENSG00000142875.19	0.052160905818241	-0.0157844020636554	-0.0179498218788992	mock_slope	31.3639466668999	Significant	Not	Not
ENSG00000157601.14	-0.0203958846782822	0.144392914054935	0.149775165368598	mock_slope	31.0908365279019	Significant	Significant	Significant
ENSG00000124795.16	0.0244392884510617	0.00609950422492232	0.00667238400441395	mock_slope	31.0062686510871	Significant	Not	Not
ENSG00000124783.14	-0.00565622309345495	-0.0336472514722852	-0.0327675891857962	mock_slope	30.8409172109337	Not	Significant	Not
ENSG00000124688.13	-0.00202606042767937	0.0368184829462558	0.0380850623012383	mock_slope	30.6987347311793	Not	Not	Significant
ENSG00000179913.10	-0.0242014966844354	-0.0293031039306873	-0.0291410574334574	mock_slope	30.4866478593082	Significant	Not	Not
ENSG00000173848.19	0.0198639377805557	0.00820063015782175	0.00857174347312021	mock_slope	30.4235550034951	Significant	Not	Not
ENSG00000168003.16	-0.0316653000264357	0.019444535980329	0.0211799792361706	mock_slope	29.4552434231139	Significant	Significant	Significant
ENSG00000285744.1	-0.0427025221838861	0.238058779297626	0.248198153860828	mock_slope	28.8700889922778	Not	Not	Significant
ENSG00000111731.12	0.0293065891703674	0.00534310284329179	0.00451115929425226	mock_slope	28.7949034633402	Significant	Not	Not
ENSG00000133703.11	0.029954644721386	-0.0118803173196631	-0.0104474994631826	mock_slope	28.1946869013258	Significant	Not	Not
ENSG00000167034.10	0.00075729242171183	0.11692095524517	0.112877137505599	mock_slope	27.9731016113836	Not	Not	Significant
ENSG00000088826.18	-0.0489473429358571	0.0213101268426064	0.0238290268089183	mock_slope	27.8895611333289	Significant	Not	Not
ENSG00000100316.16	-0.00208168319175829	-0.0200361768420059	-0.0194122517981335	mock_slope	27.7835869944655	Not	Significant	Not
ENSG00000163870.15	-0.0324834172980971	-0.00356370924113586	-0.00457008983227243	mock_slope	27.7255000717741	Significant	Not	Not
