ENSEMBL_GENE_ID	GENE_SYMBOL	ENTREZ_ID
ENSG00000053328	METTL24	728464
ENSG00000053371	AKR7A2	8574
ENSG00000053372	MRTO4	51154
ENSG00000053438	NNAT	4826
ENSG00000053501	USE1	55850
ENSG00000053524	MCF2L2	23101
ENSG00000053747	LAMA3	3909
ENSG00000053770	AP5M1	55745
ENSG00000053900	ANAPC4	29945
ENSG00000053918	KCNQ1	3784
ENSG00000054116	TRAPPC3	27095
ENSG00000054118	THRAP3	9967
ENSG00000054148	PHPT1	29085
ENSG00000054179	ENTPD2	954
ENSG00000054219	LY75	4065
ENSG00000054267	ARID4B	51742
ENSG00000054277	OPN3	23596
ENSG00000054282	SDCCAG8	10806
ENSG00000054356	PTPRN	5798
ENSG00000054392	HHAT	55733
ENSG00000054523	KIF1B	23095
ENSG00000054598	FOXC1	2296
ENSG00000054611	TBC1D22A	25771
ENSG00000054654	SYNE2	23224
ENSG00000054690	PLEKHH1	57475
ENSG00000054793	ATP9A	10079
ENSG00000054796	SPO11	23626
ENSG00000054803	CBLN4	140689
ENSG00000054938	CHRDL2	25884
ENSG00000054965	FAM168A	23201
ENSG00000054967	RELT	84957
ENSG00000054983	GALC	2581
ENSG00000055044	NOP58	51602
ENSG00000055070	SZRD1	26099
ENSG00000055118	KCNH2	3757
ENSG00000055130	CUL1	8454
ENSG00000055147	FAM114A2	10827
ENSG00000055163	CYFIP2	26999
ENSG00000055208	TAB2	23118
ENSG00000055211	GINM1	116254
ENSG00000055332	EIF2AK2	5610
ENSG00000055483	USP36	57602
ENSG00000055609	KMT2C	58508
ENSG00000055732	MCOLN3	55283
ENSG00000055813	CCDC85A	114800
ENSG00000055917	PUM2	23369
ENSG00000055950	MRPL43	84545
ENSG00000055955	ITIH4	3700
ENSG00000055957	ITIH1	3697
ENSG00000056050	HPF1	54969
ENSG00000056097	ZFR	51663
ENSG00000056277	ZNF280C	55609
ENSG00000056291	NPFFR2	10886
ENSG00000056487	PHF21B	112885
ENSG00000056558	TRAF1	7185
ENSG00000056586	RC3H2	54542
ENSG00000056736	IL17RB	55540
ENSG00000056972	TRAF3IP2	10758
ENSG00000056998	GYG2	8908
ENSG00000057019	DCBLD2	131566
ENSG00000057149	SERPINB3	6317
ENSG00000057252	SOAT1	6646
ENSG00000057294	PKP2	5318
ENSG00000057468	MSH4	4438
ENSG00000057608	GDI2	2665
ENSG00000057657	PRDM1	639
ENSG00000057663	ATG5	9474
ENSG00000057704	TMCC3	57458
ENSG00000057757	PITHD1	57095
ENSG00000057935	MTA3	57504
ENSG00000058056	USP13	8975
ENSG00000058063	ATP11B	23200
ENSG00000058085	LAMC2	3918
ENSG00000058091	CDK14	5218
ENSG00000058262	SEC61A1	29927
ENSG00000058272	PPP1R12A	4659
ENSG00000058335	RASGRF1	5923
ENSG00000058404	CAMK2B	816
ENSG00000058453	CROCC	9696
ENSG00000058600	POLR3E	55718
ENSG00000058668	ATP2B4	493
ENSG00000058673	ZC3H11A	9877
ENSG00000058729	RIOK2	55781
